question,entity,time,answer
Which team did Ugo Gabrieli play for right after January 2008?,Ugo Gabrieli,2008-01,Unione Sportiva Lecce
Which team did Ugo Gabrieli play for right after January 2010?,Ugo Gabrieli,2010-01,Paganese Calcio 1926
Which team did Ugo Gabrieli play for right after January 2015?,Ugo Gabrieli,2015-01,A.S. Martina Franca 1947
Which position did Arthur Forwood hold right after June 1886?,Arthur Forwood,1886-06,Member of the 24th Parliament of the United Kingdom
Which position did Arthur Forwood hold right after June 1892?,Arthur Forwood,1892-06,Member of the 25th Parliament of the United Kingdom
Which position did Arthur Forwood hold right after July 1895?,Arthur Forwood,1895-07,Member of the 26th Parliament of the United Kingdom
Who was the head coach of the team A.E.K. Athens F.C. right after June 2021?,A.E.K. Athens F.C.,2021-06,Sokratis Ofrydopoulos
Who was the head coach of the team A.E.K. Athens F.C. right after June 2022?,A.E.K. Athens F.C.,2022-06,Matías Almeyda CR7
"Which position did Richard Bethell, 1st Baron Westbury hold right after July 1852?","Richard Bethell, 1st Baron Westbury",1852-07,Member of the 16th Parliament of the United Kingdom
"Which position did Richard Bethell, 1st Baron Westbury hold right after March 1857?","Richard Bethell, 1st Baron Westbury",1857-03,Member of the 17th Parliament of the United Kingdom
Who was the head coach of the team Tennis Borussia Berlin right after March 1999?,Tennis Borussia Berlin,1999-03,Winfried Schäfer
Who was the head coach of the team Tennis Borussia Berlin right after June 2000?,Tennis Borussia Berlin,2000-06,Mirko Slomka
Who was the head coach of the team Tennis Borussia Berlin right after November 2000?,Tennis Borussia Berlin,2000-11,Robert Jaspert
Who was the head coach of the team Tennis Borussia Berlin right after March 2001?,Tennis Borussia Berlin,2001-03,Theo Gries
Who was the head coach of the team Tennis Borussia Berlin right after April 2014?,Tennis Borussia Berlin,2014-04,Cemal Yıldız
Who was the head coach of the team Tennis Borussia Berlin right after September 2017?,Tennis Borussia Berlin,2017-09,Thomas Brdarić
Which team did Tim Sandercombe play for right after January 2009?,Tim Sandercombe,2009-01,Mansfield Town F.C.
Which team did Tim Sandercombe play for right after January 2011?,Tim Sandercombe,2011-01,Truro City F.C.
Which team did Tim Sandercombe play for right after January 2014?,Tim Sandercombe,2014-01,Weston-super-Mare A.F.C.
Which employer did Sebastián Edwards work for right after January 1985?,Sebastián Edwards,1985-01,UCLA Anderson School of Management
Who was the head coach of the team Olympiacos F.C. right after April 2000?,Olympiacos F.C.,2000-04,Ernesto Valverde
Who was the head coach of the team Olympiacos F.C. right after May 2009?,Olympiacos F.C.,2009-05,Pedro Martins
Which employer did Eugen Slutsky work for right after January 1930?,Eugen Slutsky,1930-01,Moscow State University
Which employer did Eugen Slutsky work for right after January 1938?,Eugen Slutsky,1938-01,Steklov Institute of Mathematics
Which team did James McFadden play for right after January 2011?,James McFadden,2011-01,Everton F.C
Which team did James McFadden play for right after January 2012?,James McFadden,2012-01,Sunderland A.F.C.
Which team did Orhan Şam play for right after January 2003?,Orhan Şam,2003-01,Turkey national under-19 football team
Which team did Orhan Şam play for right after January 2006?,Orhan Şam,2006-01,Hacettepe S.K.
Which position did José Pardo y Barreda hold right after May 1904?,José Pardo y Barreda,1904-05,rector of the National University of San Marcos
Which position did José Pardo y Barreda hold right after January 1915?,José Pardo y Barreda,1915-01,President of Peru
Who was the head of Malang right after September 2013?,Malang,2013-09,Muhammad Anton
Which position did Abdul-Rashid Pelpuo hold right after January 2009?,Abdul-Rashid Pelpuo,2009-01,Member of the 5th Parliament of the 4th Republic of Ghana
Which position did Abdul-Rashid Pelpuo hold right after January 2013?,Abdul-Rashid Pelpuo,2013-01,Member of the 6th Parliament of the 4th Republic of Ghana
Which position did Abdul-Rashid Pelpuo hold right after January 2017?,Abdul-Rashid Pelpuo,2017-01,Member of the 7th Parliament of the 4th Republic of Ghana
Which employer did Fazlur Rahman Malik work for right after January 1958?,Fazlur Rahman Malik,1958-01,McGill University
Which employer did Fazlur Rahman Malik work for right after January 1961?,Fazlur Rahman Malik,1961-01,University of Chicago
Which employer did Mary Douglas work for right after January 1979?,Mary Douglas,1979-01,Columbia University
Which employer did Mary Douglas work for right after January 1980?,Mary Douglas,1980-01,Yale University
Which employer did Mary Douglas work for right after January 1981?,Mary Douglas,1981-01,Northwestern University
Which position did William Dougal Christie hold right after July 1847?,William Dougal Christie,1847-07,Member of the 15th Parliament of the United Kingdom
Which position did William Dougal Christie hold right after January 1859?,William Dougal Christie,1859-01,ambassador of the United Kingdom to Brazil
Which position did Panagiotis Kanellopoulos hold right after October 1944?,Panagiotis Kanellopoulos,1944-10,Minister of Economy of Greece
Which position did Panagiotis Kanellopoulos hold right after January 1945?,Panagiotis Kanellopoulos,1945-01,Minister without portfolio of Greece
Which position did Panagiotis Kanellopoulos hold right after April 1946?,Panagiotis Kanellopoulos,1946-04,Minister of Naval Affairs of Greece
Which position did Panagiotis Kanellopoulos hold right after February 1947?,Panagiotis Kanellopoulos,1947-02,Minister of Aviation of Greece
Which position did Panagiotis Kanellopoulos hold right after August 1947?,Panagiotis Kanellopoulos,1947-08,Minister of Military Affairs of Greece
Which position did Panagiotis Kanellopoulos hold right after April 1950?,Panagiotis Kanellopoulos,1950-04,Minister for National Defence of Greece
Which position did Panagiotis Kanellopoulos hold right after June 1963?,Panagiotis Kanellopoulos,1963-06,Prime Minister of Greece
Which position did Panagiotis Kanellopoulos hold right after April 1967?,Panagiotis Kanellopoulos,1967-04,Member of the Hellenic Parliament
Which employer did Egor Babaev work for right after January 2006?,Egor Babaev,2006-01,Royal Institute of Technology
Which employer did Teija Tiilikainen work for right after January 2019?,Teija Tiilikainen,2019-01,European Centre of Excellence for Countering Hybrid Threats
Which employer did Max Volmer work for right after January 1918?,Max Volmer,1918-01,Auergesellschaft
Which employer did Max Volmer work for right after January 1920?,Max Volmer,1920-01,University of Hamburg
Which employer did Max Volmer work for right after January 1922?,Max Volmer,1922-01,Technische Hochschule Berlin
Who was the head of Dochia right after October 2020?,Dochia,2020-10,Iulian-Cornel Iacob
Who was the head of Vologda right after July 2008?,Vologda,2008-07,Evgeny Shulepov
Who was the head of Vologda right after September 2016?,Vologda,2016-09,Yury Sapozhnikov
Which employer did John Crank work for right after January 1945?,John Crank,1945-01,Courtaulds
Which employer did John Crank work for right after January 1957?,John Crank,1957-01,Brunel University
Who was the chair of Romanian Handball Federation right after January 1996?,Romanian Handball Federation,1996-01,Cristian Gațu
Which employer did Badri Nath Prasad work for right after January 1951?,Badri Nath Prasad,1951-01,Allahabad University
Who was the chair of Protezione Civile right after July 1997?,Protezione Civile,1997-07,Franco Gabrielli
Who was the chair of Protezione Civile right after April 2015?,Protezione Civile,2015-04,Angelo Borrelli
Which position did Francisco de Benavides hold right after January 1678?,Francisco de Benavides,1678-01,Viceroy of Sicily
Which position did Francisco de Benavides hold right after January 1687?,Francisco de Benavides,1687-01,viceroy of Naples
Who was the owner of Young man in Mayo costume right after January 1877?,Young man in Mayo costume,1877-01,Ernest Hoschedé
Who was the owner of Young man in Mayo costume right after June 1878?,Young man in Mayo costume,1878-06,Jean-Baptiste Faure
Who was the owner of Young man in Mayo costume right after December 1898?,Young man in Mayo costume,1898-12,Henry Osborne Havemeyer
Which employer did Alfred H. Clifford work for right after January 1938?,Alfred H. Clifford,1938-01,Massachusetts Institute of Technology
Which employer did Alfred H. Clifford work for right after January 1942?,Alfred H. Clifford,1942-01,United States Army
Which position did Walford Selby hold right after January 1937?,Walford Selby,1937-01,ambassador of the United Kingdom to Portugal
Which employer did Louis J. Mordell work for right after January 1945?,Louis J. Mordell,1945-01,University of Cambridge
Which team did Terry Adamson play for right after January 1966?,Terry Adamson,1966-01,Luton Town F.C.
Which position did Fredrik Magnus Cronberg hold right after January 1717?,Fredrik Magnus Cronberg,1717-01,governor of Västerbotten County
Which position did Henri Madelin hold right after January 1985?,Henri Madelin,1985-01,rector
Who was the head of Georgia right after November 2013?,Georgia,2013-11,Giorgi Kvirikashvili
Who was the head of Georgia right after June 2018?,Georgia,2018-06,Mamuka Bakhtadze
Who was the head of Georgia right after September 2019?,Georgia,2019-09,Giorgi Gakharia
Which team did Ryan Flynn play for right after January 2009?,Ryan Flynn,2009-01,Falkirk F.C.
Which team did Ryan Flynn play for right after January 2011?,Ryan Flynn,2011-01,Sheffield United F.C.
Which position did Goswin de Stassart hold right after January 1814?,Goswin de Stassart,1814-01,member of the House of Representatives of the Netherlands
Which position did Goswin de Stassart hold right after October 1830?,Goswin de Stassart,1830-10,President of the Belgian Senate
Who was the head of Incheon right after June 2010?,Incheon,2010-06,Song Young-gil
Who was the head of Incheon right after June 2014?,Incheon,2014-06,Yoo Jeong-bok
Who was the head of Incheon right after June 2018?,Incheon,2018-06,Park Nam-choon
Which position did Charles Morris hold right after September 1964?,Charles Morris,1964-09,Member of the 43rd Parliament of the United Kingdom
Which position did Charles Morris hold right after March 1966?,Charles Morris,1966-03,Member of the 44th Parliament of the United Kingdom
Which position did Charles Morris hold right after May 1970?,Charles Morris,1970-05,Member of the 45th Parliament of the United Kingdom
Which position did Charles Morris hold right after September 1974?,Charles Morris,1974-09,Member of the 47th Parliament of the United Kingdom
Which team did Gabriel Simion play for right after July 2018?,Gabriel Simion,2018-07,FC Dunărea Călărași
Which team did Gabriel Simion play for right after June 2019?,Gabriel Simion,2019-06,FC Astra Giurgiu
Who was the chair of Union of Italian Jewish Communities right after January 1978?,Union of Italian Jewish Communities,1978-01,Tullia Zevi
Who was the chair of Union of Italian Jewish Communities right after January 1998?,Union of Italian Jewish Communities,1998-01,Amos Luzzatto
Who was the chair of Union of Italian Jewish Communities right after January 2006?,Union of Italian Jewish Communities,2006-01,Renzo Gattegna
Which position did John R. Bass hold right after October 2017?,John R. Bass,2017-10,United States Ambassador to Afghanistan
Which position did John R. Bass hold right after January 2020?,John R. Bass,2020-01,Under Secretary of State for Management
Where was Annelise Riles educated right after January 1990?,Annelise Riles,1990-01,Harvard University
Which position did Samuel Åkerhielm hold right after January 1942?,Samuel Åkerhielm,1942-01,Military Commander of Gotland
Who was the head coach of the team Sweden men's national ice hockey team right after January 1957?,Sweden men's national ice hockey team,1957-01,Ed Reigle
Who was the head coach of the team Sweden men's national ice hockey team right after January 1960?,Sweden men's national ice hockey team,1960-01,Arne Strömberg
Who was the head coach of the team Sweden men's national ice hockey team right after January 1985?,Sweden men's national ice hockey team,1985-01,Tommy Sandlin
Who was the head coach of the team Sweden men's national ice hockey team right after January 1990?,Sweden men's national ice hockey team,1990-01,Conny Evensson
Who was the head coach of the team Sweden men's national ice hockey team right after January 1998?,Sweden men's national ice hockey team,1998-01,Peter Wallin
Who was the head coach of the team Sweden men's national ice hockey team right after January 2000?,Sweden men's national ice hockey team,2000-01,Anders Hedberg
Who was the head coach of the team Sweden men's national ice hockey team right after February 2005?,Sweden men's national ice hockey team,2005-02,Bengt-Åke Gustafsson
Who was the head coach of the team Sweden men's national ice hockey team right after January 2019?,Sweden men's national ice hockey team,2019-01,Johan Garpenlöv
Who was the head coach of the team Sweden men's national ice hockey team right after January 2022?,Sweden men's national ice hockey team,2022-01,Sam Hallam
Which employer did Warren Weaver work for right after January 1919?,Warren Weaver,1919-01,California Institute of Technology
Which position did Hans Fredrik Grøvan hold right after January 2007?,Hans Fredrik Grøvan,2007-01,deputy member of the Parliament of Norway
Which position did Hans Fredrik Grøvan hold right after January 2013?,Hans Fredrik Grøvan,2013-01,Substitute member of the Parliamentary Assembly of the Council of Europe
Which employer did Helmuth Nyborg work for right after January 1980?,Helmuth Nyborg,1980-01,The Rockefeller University
Which employer did Helmuth Nyborg work for right after January 1990?,Helmuth Nyborg,1990-01,University of Washington
Which position did Mario Draghi hold right after October 2011?,Mario Draghi,2011-10,President of the European Central Bank
Which position did Mario Draghi hold right after October 2019?,Mario Draghi,2019-10,Prime Minister of Italy
Who was the chair of Scottish National Party right after September 2004?,Scottish National Party,2004-09,Nicola Sturgeon
Which team did Terry Bradbury play for right after January 1969?,Terry Bradbury,1969-01,Chester City F.C.
Which team did Terry Bradbury play for right after January 1971?,Terry Bradbury,1971-01,Weymouth F.C.
Who was the chair of International Bobsleigh and Skeleton Federation right after January 1978?,International Bobsleigh and Skeleton Federation,1978-01,Klaus Kotter
Who was the chair of International Bobsleigh and Skeleton Federation right after January 1994?,International Bobsleigh and Skeleton Federation,1994-01,Robert H. Storey
Which employer did Susan R. Fussell work for right after January 2008?,Susan R. Fussell,2008-01,Cornell University
Which team did Craig McKeown play for right after January 2005?,Craig McKeown,2005-01,Clyde F.C.
Which team did Craig McKeown play for right after January 2010?,Craig McKeown,2010-01,Brora Rangers F.C.
Which team did Alhassan Nuhu play for right after January 2009?,Alhassan Nuhu,2009-01,New Edubiase United
Which team did Alhassan Nuhu play for right after January 2011?,Alhassan Nuhu,2011-01,FC Sheriff Tiraspol
Which employer did Susan B. Sinnott work for right after January 2000?,Susan B. Sinnott,2000-01,University of Florida
Which employer did Vincent Ostrom work for right after January 1948?,Vincent Ostrom,1948-01,University of Oregon
Which employer did Vincent Ostrom work for right after January 1964?,Vincent Ostrom,1964-01,Indiana University Bloomington
Which team did Daniele Delli Carri play for right after January 1992?,Daniele Delli Carri,1992-01,Italy national under-21 football team
Which team did Daniele Delli Carri play for right after January 1996?,Daniele Delli Carri,1996-01,Piacenza Calcio
Which team did Daniele Delli Carri play for right after January 2005?,Daniele Delli Carri,2005-01,Delfino Pescara 1936
Which team did Daniele Delli Carri play for right after January 2007?,Daniele Delli Carri,2007-01,Calcio Foggia 1920
Where was Walter Ledermann educated right after January 1920?,Walter Ledermann,1920-01,Frederick William University
Where was Walter Ledermann educated right after January 1933?,Walter Ledermann,1933-01,University of St Andrews
Who was the head of Mühldorf am Inn right after January 2013?,Mühldorf am Inn,2013-01,Marianne Zollner
Who was the head of Mühldorf am Inn right after April 2020?,Mühldorf am Inn,2020-04,Michael Hetzl
Which employer did Annechien Steenhuizen work for right after January 2002?,Annechien Steenhuizen,2002-01,RTV Utrecht
Which employer did Annechien Steenhuizen work for right after January 2008?,Annechien Steenhuizen,2008-01,Nederlandse Omroep Stichting
Which team did Moaz El-Henawy play for right after January 2010?,Moaz El-Henawy,2010-01,El Makasa
Which employer did Petrus Camper work for right after January 1755?,Petrus Camper,1755-01,Athenaeum Illustre of Amsterdam
Which team did Clarence Seedorf play for right after January 1999?,Clarence Seedorf,1999-01,FC Inter Milan
Which team did Clarence Seedorf play for right after January 2011?,Clarence Seedorf,2011-01,Botafogo F.R.
Which employer did Sydney Chapman work for right after January 1914?,Sydney Chapman,1914-01,University of Cambridge
Which employer did Sydney Chapman work for right after January 1924?,Sydney Chapman,1924-01,Imperial College London
Which employer did Sydney Chapman work for right after January 1946?,Sydney Chapman,1946-01,University of Oxford
Which team did Naim Kryeziu play for right after January 1939?,Naim Kryeziu,1939-01,A.S. Roma
Which team did Naim Kryeziu play for right after January 1947?,Naim Kryeziu,1947-01,S.S.C. Napoli
Which team did Naim Kryeziu play for right after January 1953?,Naim Kryeziu,1953-01,F.C. Turris 1944 A.S.D.
Who was the chair of Security Service of Ukraine right after November 1991?,Security Service of Ukraine,1991-11,Yevhen Marchuk
Who was the chair of Security Service of Ukraine right after July 1994?,Security Service of Ukraine,1994-07,Wałerij Malikow
Who was the chair of Security Service of Ukraine right after July 1995?,Security Service of Ukraine,1995-07,Volodymyr Radchenko
Who was the chair of Security Service of Ukraine right after April 1998?,Security Service of Ukraine,1998-04,Leonid Derkach
Who was the chair of Security Service of Ukraine right after February 2001?,Security Service of Ukraine,2001-02,Ihor Smeshko
Who was the chair of Security Service of Ukraine right after February 2005?,Security Service of Ukraine,2005-02,Oleksandr Turchynov
Who was the chair of Security Service of Ukraine right after September 2005?,Security Service of Ukraine,2005-09,Ihor Drizhchany
Who was the chair of Security Service of Ukraine right after December 2006?,Security Service of Ukraine,2006-12,Valentyn Nalyvaichenko
Who was the chair of Security Service of Ukraine right after January 2012?,Security Service of Ukraine,2012-01,Igor Kalinin
Who was the chair of Security Service of Ukraine right after January 2013?,Security Service of Ukraine,2013-01,Oleksandr Yakymenko
Who was the chair of Security Service of Ukraine right after February 2014?,Security Service of Ukraine,2014-02,Vasyl Hrytsak
Which team did Fernando Martín Carreras play for right after January 2002?,Fernando Martín Carreras,2002-01,CD Eldense
Which team did Fernando Martín Carreras play for right after January 2007?,Fernando Martín Carreras,2007-01,Cultural y Deportiva Leonesa
Which team did Fernando Martín Carreras play for right after January 2008?,Fernando Martín Carreras,2008-01,CD Alcoyano
Which team did Fernando Martín Carreras play for right after January 2013?,Fernando Martín Carreras,2013-01,Ontinyent CF
Which team did Fernando Martín Carreras play for right after January 2014?,Fernando Martín Carreras,2014-01,CF La Nucía
Which team did Fernando Martín Carreras play for right after January 2015?,Fernando Martín Carreras,2015-01,Paterna CF
Who was the head of Hadsel right after January 2015?,Hadsel,2015-01,Siv Dagny Aasvik
Who was the head of Hadsel right after January 2019?,Hadsel,2019-01,Kurt Jenssen
Who was the head of Hadsel right after July 2020?,Hadsel,2020-07,Aina Johanne Nilsen
"Which position did Sir Herbert Williams, 1st Baronet hold right after May 1929?","Sir Herbert Williams, 1st Baronet",1929-05,Member of the 36th Parliament of the United Kingdom
"Which position did Sir Herbert Williams, 1st Baronet hold right after June 1945?","Sir Herbert Williams, 1st Baronet",1945-06,Member of the 39th Parliament of the United Kingdom
"Which position did Sir Herbert Williams, 1st Baronet hold right after October 1951?","Sir Herbert Williams, 1st Baronet",1951-10,Member of the 40th Parliament of the United Kingdom
Who was the chair of Young Socialists in the SPD right after June 2004?,Young Socialists in the SPD,2004-06,Sascha Vogt
Who was the head of Canada right after November 1948?,Canada,1948-11,Stephen Harper
Who was the head of Canada right after November 2015?,Canada,2015-11,Justin Trudeau
Where was Chris Hadfield educated right after January 1982?,Chris Hadfield,1982-01,University of Waterloo
Where was Chris Hadfield educated right after January 1983?,Chris Hadfield,1983-01,University of Tennessee Space Institute
Which position did Saville Garner hold right after January 1943?,Saville Garner,1943-01,High Commissioner of the United Kingdom to Canada
Which position did Saville Garner hold right after January 1961?,Saville Garner,1961-01,Permanent Under-Secretary for Commonwealth Relations
Which position did Saville Garner hold right after January 1968?,Saville Garner,1968-01,Member of the House of Lords
Who was the head of state of Kosovo right after September 2010?,Kosovo,2010-09,Behgjet Pacolli
Who was the head coach of the team Degerfors IF right after December 1977?,Degerfors IF,1977-12,Patrik Werner
Who was the head coach of the team Degerfors IF right after July 2016?,Degerfors IF,2016-07,Tobias Solberg
Which team did David Casasnovas play for right after January 2004?,David Casasnovas,2004-01,FC La Chaux-de-Fonds
Which team did David Casasnovas play for right after January 2006?,David Casasnovas,2006-01,FC Biel-Bienne
Which team did Robin de Kruijf play for right after January 2009?,Robin de Kruijf,2009-01,TVC Amstelveen
Which team did Robin de Kruijf play for right after January 2014?,Robin de Kruijf,2014-01,VakıfBank SK
Which team did Miloslav Penner play for right after January 1996?,Miloslav Penner,1996-01,MFK Karviná
Which team did Miloslav Penner play for right after January 1997?,Miloslav Penner,1997-01,SK Dynamo České Budějovice
Which team did Miloslav Penner play for right after January 2004?,Miloslav Penner,2004-01,1. FK Příbram
Which team did Miloslav Penner play for right after January 2007?,Miloslav Penner,2007-01,FC Fastav Zlín
Who was the head of Region Zealand right after December 2017?,Region Zealand,2017-12,Heino Knudsen
Which team did József Gelei play for right after January 1962?,József Gelei,1962-01,FC Tatabánya
Where was Albert Caquot educated right after October 1901?,Albert Caquot,1901-10,École des Ponts ParisTech
Which team did David Bory play for right after January 2005?,David Bory,2005-01,Bath Rugby
Which position did Kojo Appiah-Kubi hold right after January 2013?,Kojo Appiah-Kubi,2013-01,Member of the 6th Parliament of the 4th Republic of Ghana
Which position did Kojo Appiah-Kubi hold right after January 2017?,Kojo Appiah-Kubi,2017-01,Member of the 7th Parliament of the 4th Republic of Ghana
Which team did Mustafa Peštalić play for right after January 1982?,Mustafa Peštalić,1982-01,F.K. Vojvodina
Which team did Mustafa Peštalić play for right after January 1984?,Mustafa Peštalić,1984-01,FK Spartak Zlatibor Voda
Which team did Mustafa Peštalić play for right after January 1986?,Mustafa Peštalić,1986-01,HNK Šibenik
Which team did Mustafa Peštalić play for right after January 1988?,Mustafa Peštalić,1988-01,FK Sloboda Tuzla
Which team did Mustafa Peštalić play for right after January 1990?,Mustafa Peštalić,1990-01,FK Velež Mostar
Which team did Mustafa Peštalić play for right after January 1991?,Mustafa Peštalić,1991-01,C.F. Estrela da Amadora
Which team did Mustafa Peštalić play for right after January 1992?,Mustafa Peštalić,1992-01,S.C. Campomaiorense
Which team did Mustafa Peštalić play for right after January 1995?,Mustafa Peštalić,1995-01,A.D. Camacha
Which team did Mustafa Peštalić play for right after January 1997?,Mustafa Peštalić,1997-01,Sing Tao SC
Which team did Mick Morris play for right after January 1967?,Mick Morris,1967-01,Port Vale F.C.
Which team did Mick Morris play for right after January 1972?,Mick Morris,1972-01,Stafford Rangers F.C.
Which political party did Masir Kujat belong to right after March 2019?,Masir Kujat,2019-03,Sarawak United Party
Which position did George Jones hold right after October 1922?,George Jones,1922-10,Member of the 32nd Parliament of the United Kingdom
Which position did George Jones hold right after May 1929?,George Jones,1929-05,Member of the 35th Parliament of the United Kingdom
Who was the chair of Sweden Democrats right after January 1989?,Sweden Democrats,1989-01,Anders Klarström
Which employer did Sofie Carsten Nielsen work for right after January 2004?,Sofie Carsten Nielsen,2004-01,"Danish Ministry of Children, Gender Equality, Integration and Social Affairs"
"Which position did Leonard Lyell, 1st Baron Lyell hold right after July 1895?","Leonard Lyell, 1st Baron Lyell",1895-07,Member of the 26th Parliament of the United Kingdom
Which political party did Rosemarie Hein belong to right after June 2007?,Rosemarie Hein,2007-06,The Left
Who was the head of Free Hanseatic City of Bremen right after April 1945?,Free Hanseatic City of Bremen,1945-04,Erich Vagts
Who was the head of Free Hanseatic City of Bremen right after July 1945?,Free Hanseatic City of Bremen,1945-07,Wilhelm Kaisen
Who was the head of Free Hanseatic City of Bremen right after July 1965?,Free Hanseatic City of Bremen,1965-07,Willi Dehnkamp
Who was the head of Free Hanseatic City of Bremen right after July 1995?,Free Hanseatic City of Bremen,1995-07,Henning Scherf
Who was the head of Free Hanseatic City of Bremen right after July 2015?,Free Hanseatic City of Bremen,2015-07,Carsten Sieling
Who was the head of Free Hanseatic City of Bremen right after August 2019?,Free Hanseatic City of Bremen,2019-08,Andreas Bovenschulte
Which team did Cyril Granon play for right after January 1993?,Cyril Granon,1993-01,FC Mulhouse
Which team did Cyril Granon play for right after January 2006?,Cyril Granon,2006-01,AS Aix-en-Provence
Which employer did Laurent Schwartz work for right after January 1945?,Laurent Schwartz,1945-01,Université de Nancy
Which employer did Laurent Schwartz work for right after January 1953?,Laurent Schwartz,1953-01,University of Paris
Which employer did Laurent Schwartz work for right after January 1959?,Laurent Schwartz,1959-01,École polytechnique
Which employer did Laurent Schwartz work for right after January 1980?,Laurent Schwartz,1980-01,Paris Diderot University
Which team did Ian Gardiner play for right after January 1960?,Ian Gardiner,1960-01,St Johnstone F.C.
"Which position did Sir John Arbuthnot, 1st Baronet hold right after October 1951?","Sir John Arbuthnot, 1st Baronet",1951-10,Member of the 40th Parliament of the United Kingdom
"Which position did John Colville, 1st Baron Clydesmuir hold right after October 1931?","John Colville, 1st Baron Clydesmuir",1931-10,Member of the 36th Parliament of the United Kingdom
"Which position did John Colville, 1st Baron Clydesmuir hold right after October 1935?","John Colville, 1st Baron Clydesmuir",1935-10,Member of the 37th Parliament of the United Kingdom
"Which position did John Colville, 1st Baron Clydesmuir hold right after January 1938?","John Colville, 1st Baron Clydesmuir",1938-01,Secretary of State for Scotland
Which position did Stanley McMaster hold right after September 1959?,Stanley McMaster,1959-09,Member of the 42nd Parliament of the United Kingdom
Which position did Stanley McMaster hold right after September 1964?,Stanley McMaster,1964-09,Member of the 43rd Parliament of the United Kingdom
Which position did Stanley McMaster hold right after March 1966?,Stanley McMaster,1966-03,Member of the 44th Parliament of the United Kingdom
Which position did Stanley McMaster hold right after May 1970?,Stanley McMaster,1970-05,Member of the 45th Parliament of the United Kingdom
Which position did Dietmar Keller hold right after January 1990?,Dietmar Keller,1990-01,member of the Volkskammer
Which employer did Philipp August Böckh work for right after January 1807?,Philipp August Böckh,1807-01,Heidelberg University
Which employer did Philipp August Böckh work for right after January 1811?,Philipp August Böckh,1811-01,University of Berlin
Which employer did Dirk Helbing work for right after January 2007?,Dirk Helbing,2007-01,ETH Zürich
Which team did Mikaël Cantave play for right after December 2017?,Mikaël Cantave,2017-12,Deportivo Rayo Cantabria
Which team did Mikaël Cantave play for right after July 2018?,Mikaël Cantave,2018-07,CD Tropezón
Which team did Mikaël Cantave play for right after July 2019?,Mikaël Cantave,2019-07,CD Lealtad
Which team did Mikaël Cantave play for right after December 2020?,Mikaël Cantave,2020-12,CD Villarrobledo
Which team did Alyaksey Belavusaw play for right after January 1998?,Alyaksey Belavusaw,1998-01,FC Dinamo Minsk
Which team did Alyaksey Belavusaw play for right after January 2002?,Alyaksey Belavusaw,2002-01,FC Shakhtyor Salihorsk
Which employer did Franz Baader work for right after January 1989?,Franz Baader,1989-01,German Research Center for Artificial Intelligence
Which employer did Franz Baader work for right after January 2002?,Franz Baader,2002-01,TU Dresden
"Which position did Sir Love Jones-Parry, 1st Baronet hold right after January 1874?","Sir Love Jones-Parry, 1st Baronet",1874-01,Member of the 22nd Parliament of the United Kingdom
"Which position did Sir Love Jones-Parry, 1st Baronet hold right after November 1885?","Sir Love Jones-Parry, 1st Baronet",1885-11,Member of the 23rd Parliament of the United Kingdom
Which position did Edward Stanley hold right after November 1885?,Edward Stanley,1885-11,Member of the 23rd Parliament of the United Kingdom
Which position did Edward Stanley hold right after June 1886?,Edward Stanley,1886-06,Member of the 24th Parliament of the United Kingdom
Which position did Edward Stanley hold right after June 1892?,Edward Stanley,1892-06,Member of the 25th Parliament of the United Kingdom
Which position did Edward Stanley hold right after September 1900?,Edward Stanley,1900-09,Member of the 27th Parliament of the United Kingdom
Who was the head of Sant Fost de Campsentelles right after June 2019?,Sant Fost de Campsentelles,2019-06,Maria José Sánchez i Ortega
Who was the head of Sant Fost de Campsentelles right after September 2019?,Sant Fost de Campsentelles,2019-09,Carles Miquel i Ruzafa
Who was the head of Annemasse right after October 1947?,Annemasse,1947-10,Robert Borrel
Who was the head of Annemasse right after March 2008?,Annemasse,2008-03,special delegation
Which position did Arnold Shaw hold right after May 1970?,Arnold Shaw,1970-05,Member of the 46th Parliament of the United Kingdom
Which team did Manuel Hartmann play for right after January 2010?,Manuel Hartmann,2010-01,FC Ingolstadt 04
Which team did Steve Jones play for right after January 1997?,Steve Jones,1997-01,Sligo Rovers F.C.
Which team did Steve Jones play for right after January 2013?,Steve Jones,2013-01,Airbus UK Broughton F.C.
Which team did Steve Jones play for right after January 2014?,Steve Jones,2014-01,Nantwich Town F.C.
Which team did Onur Kıvrak play for right after January 2006?,Onur Kıvrak,2006-01,Turkey national under-19 football team
Who was the head coach of the team TSG 1899 Hoffenheim right after June 2019?,TSG 1899 Hoffenheim,2019-06,Alfred Schreuder
Who was the head coach of the team TSG 1899 Hoffenheim right after June 2022?,TSG 1899 Hoffenheim,2022-06,André Breitenreiter
Which employer did David Gilbarg work for right after January 1957?,David Gilbarg,1957-01,Stanford University
Which team did Quintin Mikell play for right after January 2010?,Quintin Mikell,2010-01,Los Angeles Rams
Which team did Quintin Mikell play for right after January 2013?,Quintin Mikell,2013-01,Carolina Panthers
Which employer did Leonid Kantorovich work for right after January 1945?,Leonid Kantorovich,1945-01,Novosibirsk State University
Which position did Michael Shersby hold right after May 1987?,Michael Shersby,1987-05,Member of the 50th Parliament of the United Kingdom
Which position did Michael Shersby hold right after March 1992?,Michael Shersby,1992-03,Member of the 51st Parliament of the United Kingdom
